Wärmebrücke,Zusatzinfo Wärmebrücke,Bezeichnung,Psi-Wert,mit Referenzbauteil,ebz,W&P,VHAG,Datum,Nr.,BV,Name,Farbe,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm035-BP16(19)-200mm037US+FS-100mm036-Stirndämmung-relevante Länge ab UK US,-0.0032,,,,X,11.03.2014,199,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm035-BP18(19)-060mm035US+FS-060mm035_ohne Foamglas +ohne SD,0.0511,,,,X,24.08.2017,1317,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm035-BP20(19)-060mm035US+FS-060mm035_ohne Foamglas + OHNE SD,0.0562,,,,X,18.08.2017,1312,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm035-BP20(19)-060mm035US+FS_ohne Foamglas + SD_Ausgleichsstein PPW 4,0.0593,,,,X,20.05.2022,2427,,,light blue,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm035-BP22(19)-060mm035US+FS_ohne Foamglas +SD_Ausgleichsstein PPW4,0.0646,,,,X,02.05.2019,1769,,,light blue,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm035-BP25(19)-060mm035US+FS_ohne Foamglas+ ohneSD,0.0702,,,,X,14.12.2017,1409,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm035-BP30(19)-060mm035US_ohne FS ohne SD_ohne Foamglas,0.0824,,,,X,22.05.2017,1211,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm035-BP30(19)-060mm035US+FS_ohne Foamglas + SD_Ausgleichsstein PPW4,0.0839,,,,X,19.01.2024,2627,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm035-BP30(19)-100mm036US_ohne FS_ohne SD_ohne Foamglas,0.1213,,,,X,04.05.2016,682,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm035-BP30(19)-100mm038US+FS-100mm038_ohne Foamglas OHNE SD,0.0927,,,,X,21.12.2016,984,,,,,
