Wärmebrücke,Zusatzinfo Wärmebrücke,Bezeichnung,Psi-Wert,mit Referenzbauteil,ebz,W&P,VHAG,Datum,Nr.,BV,Name,Farbe,,
Fußpunkte - Fenstertüren DG,"Sturz Tür an Fußpunkt-Fenstertür (mit Rollladen)   ( + Zuschlag GEG + 0,02 )","AW44-V-15PPW2-160mm035_StbD24-14_F0,69_Haustür1,0",0.0332,,,,X,29.03.2021,2144,,,light yellow,,
Fußpunkte - Fenstertüren DG,"Sturz Tür an Fußpunkt-Fenstertür (mit Rollladen)   ( + Zuschlag GEG + 0,02 )","AW44-V-15PPW2-160mm035_StbD24-14_F0,80_Haustür1,0",0.0300,,,,X,06.05.2020,1982,,,,,
Fußpunkte - Fenstertüren DG,"Sturz Tür an Fußpunkt-Fenstertür (mit Rollladen)   ( + Zuschlag GEG + 0,02 )","AW44-V-15PPW2-160mm032_StbD18-14_F0,73_Haustür1,0_unter vorgehängtem Balkon ",0.0451,,,,X,08.08.2017,1303,85484,Schwenn,,,
Fußpunkte - Fenstertüren DG,"Sturz Tür an Fußpunkt-Fenstertür (mit Rollladen)   ( + Zuschlag GEG + 0,02 )","AW44-V-15PPW2-160mm032_StbD18-19_F0,73_FH-Tür1,5_AW44-V-15PPW4-160mm032",-0.0803,,,,X,30.01.2019,1687,86850,Pohl,,,
Fußpunkte - Fenstertüren DG,Sturz Fenster (mit Rollladen) an Fußpunkt Tür,"AW44-V-15PPW2-160mm032_StbD24-14_F0,73_Tür1,0",0.2348,,,,X,25.06.2018,1521,86246,Herrmann,,,
Fußpunkte - Fenstertüren DG,Sturz Tür an Fußpunkt-Fenstertür (mit Raffstore),"AW44-P-15PPW6-160mm032_StbD24-14_F0,73_Tür1,0",0.0280,,,,X,26.06.2017,1265,,,,,
Fußpunkte - Fenstertüren DG,Sturz Tür an Fußpunkt-Fenstertür (mit Raffstore),"AW44-V-15PPW2-160mm035_StbD24-14_Haustür1,0_F0,66",-0.0009,,,,X,11.08.2022,2465,,,,,
,,"Fußpunkt Haustür  ( + Zuschlag GEG + 0,18 )",,,,,,,,,,,,
,,mit Keller - neues Sockelprofil,,,,,,,,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,18 )",mit Keller - neues Sockelprofil,"AW44-V-15PPW4-160mm035_Haustür1,0_Stb.D18(14)_AW30-Stb-200mm037_neues Sockelprofil",0.2004,,,,X,15.02.2019,1702,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,18 )",mit Keller - neues Sockelprofil,"AW44-V-15PPW4-160mm035_Haustür1,0_Stb.D18(19)_AW30-Stb-200mm037_neues Sockelprofil",0.1984,,,,X,24.09.2018,1595,,,light orange 2,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,18 )",mit Keller - neues Sockelprofil,"AW44-V-15PPW4-160mm035_Haustür1,0_Stb-D18(19)_AW30-Stb-200mm037_mit Betonfertigteil und Schöckkorb KXT M1 V1(0,071)_neues Sockelprofil",0.4804,,,,X,21.01.2020,1925,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,18 )",mit Keller - neues Sockelprofil,"AW44-V-15PPW4-160mm035_Haustür1,0_Stb.D18(19)_AW30-Stb-200mm042_neues Sockelprofil",0.2160,,,,X,17.10.2018,1611,,,light orange 2,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,18 )",mit Keller - neues Sockelprofil,"AW44-V-15PPW4-160mm035_Haustür1,0_Stb.D18(19)_AW24 Stb-200mm044_neues Sockelprofil",0.2266,,,,X,11.10.2019,1868,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,18 )",mit Keller - neues Sockelprofil,"AW44-V-15PPW4-160mm035_Haustür1,0_Stb.D18(19)_AW30-Stb-240mm042_neues Sockelprofil",0.2212,,,,X,30.08.2023,2591,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,18 )",mit Keller - neues Sockelprofil,"AW44-V-15PPW4-160mm035_Haustür1,0_Stb.D18(19)_AW47,5-V-17,5PPW2-160mm032_neues Sockelprofil",0.1916,,,,X,06.05.2019,1771,,,light yellow,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,18 )",mit Keller - neues Sockelprofil,"AW44-V-15PPW4-160mm035_Haustür1,0_Stb-D20(19)-12cmMultipor 042_AWKG30-Stb-200mm037-12cm Multipor 042_Kellergarage_neues Sockelprofil",0.0231,,,,X,24.01.2020,1927,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,18 )",mit Keller - neues Sockelprofil,"AW44-V-15PPW4-160mm035_Haustür1,0_Stb.D20(19)_AW30-Stb-200mm042_neues Sockelprofil",0.1917,,,,X,15.01.2021,2098,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,18 )",mit Keller - neues Sockelprofil,"AW44-V-15PPW4-160mm035_Haustür1,0_Stb.D20(19)_AW30-Stb-200mm042-11,5PPW4_neues Sockelprofil",0.1922,,,,X,13.01.2020,1921,,,light magenta 3,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,18 )",mit Keller - neues Sockelprofil,"AW44-V-15PPW4-160mm035_Haustür1,0_Stb.D22(19)_AW30-Stb-200mm037_neues Sockelprofil",0.1971,,,,X,22.10.2018,1614,,,light orange 2,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,18 )",mit Keller - neues Sockelprofil,"AW44-V-15PPW4-160mm035_Haustür1,0_Stb.D22(19)_AW35-Stb-200mm037_neues Sockelprofil",0.1947,,,,X,23.01.2019,1679,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,18 )",mit Keller - neues Sockelprofil,"AW44-V-15PPW4-160mm035_Haustür1,0_Stb.D24(14)_AW30 Stb-200mm037_neues Sockelprofil",0.217,,,,X,24.11.2020,2072,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,18 )",mit Keller - neues Sockelprofil,"AW44-V-15PPW4-160mm035_Haustür1,1_Stb.D24(14)_AW30-Stb-200mm037_neues Sockelprofil",0.1641,,,,X,12.02.2019,1701,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,18 )",mit Keller - neues Sockelprofil,"AW44-V-15PPW4-160mm035_Haustür1,0_Stb.D24(19)_AW30-Stb-200mm037_neues Sockelprofil",0.1724,,,,X,08.04.2020,1970,,,light orange 3,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,18 )",mit Keller - neues Sockelprofil,"AW44-V-15PPW4-160mm035_Haustür1,0_Stb.D24(19)_AW30-Stb-200mm042_neues Sockelprofil",0.1903,,,,X,11.01.2021,2094,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,18 )",mit Keller - neues Sockelprofil,"AW44-V-15PPW4-160mm035_Haustür1,0_Stb.D28(19)-120mmMultipor042_AWKG30-Stb-200mm037-60mm042_unbeheizte Garage_neues Sockelprofil",0.0358,,,,X,10.11.2020,2060,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,18 )",mit Keller - neues Sockelprofil,"AW44-V-15PPW6-160mm035_Haustür1,0_Stb.D22(19)_AW30-Stb-200mm042_neues Sockelprofil",0.1945,,,,X,07.07.2021,2216,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,18 )",mit Keller - neues Sockelprofil,"AW44-V-15PPW6-160mm035_Haustür1,0_Stb.-D24(19) bzw. 100mm024_neues Sockelprofil_auskragender Keller",0.2660,,,,X,19.08.2021,2236,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,18 )",mit Keller - neues Sockelprofil,"AW44-V-15PPW6-160mm035_Haustür1,0_Stb.-D32(19)_AW30-Stb-200mm042_neues Sockelprofil",0.1907,,,,X,06.09.2021,2262,,,,,
,,Kellertür,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )",,,,,,,,,,,,
,,"ohne Keller ( + Zuschlag GEG + 0,08 )",,,,,,,,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm032-Haustür1,0-BP25(19)-200mm039US_Pflasterung-Ohne Foamglas mit SD mit Perimeterd_Sockel mit Streifenfundament",0.0143,,,,X,20.02.2020,1939,,,light magenta 3,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür0,8-BP16(19)-060mm035US+FS_Pflasterung-Ohne Foamglas und SD mit Perimeterd._neues Sockelprofil",0.1126,,,,X,22.11.2018,1639,,,light orange 3,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP16(14)-060mm035US+FS_Pflasterung_Ohne Foamglas OHNE SD mit Perimeterd._neues Sockelprofil_28.09.2018",0.1277,,,,X,28.09.2018,1600,,V1 UrbanStyle,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP16(14)-060mm035US+FS_Pflasterung_Ohne Foamglas und SD mit Perimeterd._neues Sockelprofil",0.0369,,,,X,24.09.2018,1595,,V1 UrbanStyle,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP16(19)-060mm035US ohne FS_Pflasterung-Ohne Foamglas und SD mit Perimeterd._neues Sockelprofil_mit Frostschürze",0.0424,,,,X,27.08.2019,1832,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP16(19)-060mm035US+FS_Pflaster.-Ohne Foamglas mit SD mit Perimeterd._neues Sockelprofil",0.0027,,,,X,13.05.2019,1775,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP16(19)-060mm035US+FS_Pflasterung-Ohne Foamglas und SD mit Perimeterd._neues Sockelprofil",0.0558,,,,X,24.09.2018,1595,,,light cyan,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP16(19)-60mm035US_Pflaster.-Ohne Foamglas + SD mit Perimeterd._neues Sockelprofil_Streifenfundament(40cm)",0.0468,,,,X,20.10.2022,2498,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP16(19)-060mm035US+FS_Pflasterung-Ohne Foamglas+SD mit Perimeterd._rel Länge ab UKUS_neues Sockelprofil",-0.1642,,,,X,09.10.2018,1603,5018058,Wuschick,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP16(19)-060mm035US_Pflasterung-ohne SD mit Perimeterd._neues Sockelprofil_Sockel mit Streifenfundament (30cm Schalungsstein)",0.0139,,,,X,17.12.2020,2091,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP16(19)-060mm037US+FS_Pflasterung-Ohne Foamglas und SD mit Perimeterd._neues Sockelprofil",0.0527,,,,X,14.03.2019,1737,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP16(19)-100mm036US+FS_Pflaster.-ohne Foamglas mit SD mit Perimeterd._neues Sockelprofil_rel Länge ab UK US",-0.2451,,,,X,26.02.2019,1714,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP16(19)-100mm036US+FS_Pflasterung-Ohne Foamglas und SD mit Perimeterd._neues Sockelprofil",0.0841,,,,X,24.09.2018,1595,,,light orange 2,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP16(19)-100mm036US+FS_Pflasterung-Ohne Foamglas+SD mit Perimeterd._neues Sockelprofil_rel Länge ab UKUS",-0.1797,,,,X,09.10.2018,1603,5018058,Wuschick,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP16(19)-100mm038US+FS_Pflasterung-Ohne Foamglas und SD mit Perimeterd._neues Sockelprofil",0.0803,,,,X,25.03.2019,1743,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP16(19)-100mm038US+FS_Pflasterung-Ohne Foamglas+SD mit Perimeterd._neues Sockelprofil_rel Länge ab UKUS",-0.1797,,,,X,15.04.2021,2154,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP16(19)-120mm036US+FS_Pflasterung-Ohne Foamglas und SD mit Perimeterd._neues Sockelprofil",0.0970,,,,X,29.03.2021,2145,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP16(19)-140mm036US+FS_Pflasterung-Ohne Foamglas und SD mit Perimeterd._neues Sockelprofil",0.1075,,,,X,28.11.2018,1643,,,light yellow,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP16(19)-140mm039US+FS_Pflasterung-Ohne Foamglas und SD mit Perimeterd._neues Sockelprofil",0.1022,,,,X,25.02.2020,1943,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP16(19)-140mm042US+FS_Pflasterung-Ohne Foamglas und SD mit Perimeterd._neues Sockelprofil",0.0977,,,,X,13.01.2023,2529,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP16(19)-160mm043US+FS_Pflasterung-Ohne Foamglas und SD mit Perimeterd._neues Sockelprofil",0.1042,,,,X,19.10.2021,2305,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP16(19)-200mm037US+FS_Pflaster.-Ohne Foamglas mit SD mit Perimeterd._neues Sockelprofil",0.0454,,,,X,20.02.2019,1709,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP16(19)-200mm037US+FS_Pflaster.-Ohne Foamglas mit SD mit Perimeterd._neues Sockelprofil_rel Länge ab UK US",-0.3146,,,,X,11.02.2019,1699,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP16(19)-200mm037US+FS_Pflasterung-Ohne Foamglas und SD mit Perimeterd._neues Sockelprofil",0.1298,,,,X,14.11.2018,1635,,,light yellow,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP16(19)-200mm039US+FS_Pflasterung-Ohne Foamglas und SD mit Perimeterd._neues Sockelprofil",0.1276,,,,X,19.04.2021,2158,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP18(19)-060mm035US+FS_Pflasterung-Ohne Foamglas und SD mit Perimeterd._neues Sockelprofil",0.0619,,,,X,18.12.2018,1660,,,light green,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP18(19)-100mm036US+FS_Pflasterung-Ohne Foamglas und SD mit Perimeterd._neues Sockelprofil",0.0923,,,,X,14.10.2021,2300,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP18(19)-140mm039US+FS_Pflasterung-Ohne Foamglas und SD mit Perimeterd._neues Sockelprofil",0.1113,,,,X,03.11.2021,2321,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP18(19)-200mm037US+FS_Pflasterung-Ohne Foamglas mit SD mit Perimeterd._neues Sockelprofil",0.0478,,,,X,01.06.2021,2187,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP18(19)-200mm037US_Pflasterung-Ohne Foamglas mit SD mit Perimeterd._neues Sockelprofil_Streifenfundament (30cm)",0.0958,,,,X,01.06.2021,2187,,,light magenta 3,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP20(19)-060mm035US+FS_Pflasterung-Ohne Foamglas mit SD mit Perimeterd._neues Sockelprofil",0.0082,,,,X,03.03.2020,1947,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP20(19)-060mm035US+FS_Pflasterung-Ohne Foamglas und SD mit Perimeterd._neues Sockelprofil",0.0671,,,,X,20.11.2018,1637,,,light orange 3,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP20(19)-060mm035US_Pflasterung-Ohne Foamglas und SD mit Perimeterd._neues Sockelprofil_Streifenfundament(30cm)",0.0535,,,,X,12.01.2022,2359,,,light magenta 3,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP20(19)-140mm036US+100mm036FS_Pflasterung-Ohne Foamglas + SD mit Perimeterd._neues Sockelprofil",0.1247,,,,X,11.12.2023,2614,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP20(19)-140mm039US+FS_Pflasterung-Ohne Foamglas mit SD mit Perimeterd._neues Sockelprofil",0.0308,,,,X,12.05.2021,2172,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP20(19)-200mm037US+FS_Pflasterung-Ohne Foamglas mit SD mit Perimeterd._neues Sockelprofil",0.0510,,,,X,07.08.2019,1818,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )",AW44-V-15PPW4-160mm035-Haustür1.0-BP20(19)-200mm039US+FS_Pflasterung-Ohne Foamglas mit SD mit Perimeterd._neues Sockelprofil,0.0415,,,,X,14.06.2023,2566,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP22(19)-060mm035US+FS_Pflasterung-Ohne Foamglas und SD mit Perimeterd._neues Sockelprofil",0.0731,,,,X,29.01.2020,1929,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035_Haustür1,0-BP22(19)-060mm035US+FS_Pflasterung-Ohne Foamglas mit SD mit Perimeterd._neues Sockelprofil",0.0099,,,,X,13.11.2020,2064,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035_Haustür1,0-BP22(19)-100mm036US+FS_Pflasterung-Ohne Foamglas mit SD mit Perimeterd._neues Sockelprofil",0.0251,,,,X,11.04.2022,2418,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP22(19)-140mm036US+FS_Pflasterung-Ohne Foamglas und SD mit Perimeterd._neues Sockelprofil",0.1313,,,,X,30.04.2020,1981,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP22(19)-200mm039US+FS_Pflasterung-Ohne Foamglas mit SD mit Perimeterd._neues Sockelprofil",0.0506,,,,X,04.02.2020,1932,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP22(19)-200mm041US+FS_Pflasterung-Ohne Foamglas mit SD mit Perimeterd._neues Sockelprofil",0.0488,,,,X,05.11.2020,2056,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP24(19)-140mm036US_Pflasterung-Ohne Foamglas und SD mit Perimeterd._neues Sockelprofil_Streifenfundament(45cm)",0.1252,,,,X,08.11.2021,2325,,,light magenta 3,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP25(19)_ohne US_Pflasterung-Ohne Foamglas und SD mit Perimeterd._neues Sockelprofil",-0.0296,,,,X,28.09.2022,2488,,,light orange 3,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP25(19)-060mm035US+FS_Pflasterung-Ohne Foamglas und SD mit Perimeterd._neues Sockelprofil",0.0808,,,,X,25.10.2018,1618,,,light orange 3,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP25(19)-060mm035US+FS_Pflasterung-Ohne Foamglas und SD mit Perimeterd._neues Sockelprofil",0.0671,,,,X,04.12.2023,2611,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP25(19)-060mm035US+FS_Pflasterung-Ohne Foamglas mit SD mit Perimeterd._neues Sockelprofil",0.0121,,,,X,20.05.2021,2178,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP25(19)-060mm035US_Pflasterung-ohne SD mit Perimeterd._neues Sockelprofil_Sockel mit Streifenfundament_(30x25cm Schalungsstein)",0.0096,,,,X,23.09.2021,2286,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP25(19)-060mm035US_Pflasterung-ohne SD mit Perimeterd._neues Sockelprofil_Sockel mit Streifenfundament_(42.5cm Schalungsstein)",0.0237,,,,X,29.03.2023,2556,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP25(19)-100mm036US+FS_Pflasterung-Ohne Foamglas und SD mit Perimeterd._neues Sockelprofil",0.1150,,,,X,10.01.2019,1665,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP25(19)-200mm037US+FS_Pflasterung-Ohne Foamglas und SD mit Perimeterd._neues Sockelprofil",0.1620,,,,X,06.12.2018,1651,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP25(19)-200mm039US+FS_Pflasterung-Ohne Foamglas mit SD mit Perimeterd._neues Sockelprofil",0.0543,,,,X,24.01.2020,1927,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP25(19)-200mm041US_Pflasterung-Ohne Foamglas und SD mit Perimeterd._neues Sockelprofil_Streifenfundament",0.1582,,,,X,13.12.2019,1913,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP27(19)-200mm037US_Pflasterung-Ohne Foamglas und SD mit Perimeterd._neues Sockelprofil_Streifenfundament (40cm)",0.1738,,,,X,02.12.2020,2080,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP30(19)-060mm035US+FS_Pflasterung-Ohne Foamglas und SD mit Perimeterd._neues Sockelprofil",0.0924,,,,X,06.11.2018,1626,,,light yellow,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP30(19)-060mm035US+FS_Pflasterung-Ohne Foamglas mit SD mit Perimeterd._neues Sockelprofil",0.0142,,,,X,07.05.2021,2171,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP30(19)-100mm036US ohne FS_Pflaster.-Ohne Foamglas mit SD mit Perimeterd._neues Sockelprofil",0.0280,,,,X,06.03.2019,1724,,,,,
"Fußpunkt Haustür  ( + Zuschlag GEG + 0,08 )","ohne Keller ( + Zuschlag GEG + 0,08 )","AW44-V-15PPW4-160mm035-Haustür1,0-BP30(19)-140mm036US+FS_Pflasterung-Ohne Foamglas mit SD mit Perimeterd._neues Sockelprofil",0.0444,,,,X,02.11.2022,2505,,,,,
